danceability (bin);key;track_id (song_features.csv);acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;mode;speechiness;tempo;valence
0.81;11;5uAMiB0RMCjdq7p5mEjfY1;0,165;0,829;173585;0,573;0;0,0641;-6,708;0;0,394;137,028;0,372
0.66;1;7gbpozqwdFoqvv19BTk2hu;0,0152;0,667;189815;0,624;2,05e-05;0,296;-5,527;1;0,0688;101,96;0,19
0.96;8;3ALgsy4RtDm58xl3VNoSgZ;0,00872;0,972;185883;0,482;0;0,149;-6,128;1;0,0703;125,014;0,0767
0.81;0;2jey6aQoRNao7Ou9ftOXFC;0,0572;0,825;185987;0,718;0;0,104;-3,482;1;0,0838;145,028;0,69
0.60;0;3Uvi9diL18dYSUc3vcKk0n;0,273;0,612;112705;0,497;0;0,156;-7,543;1;0,0719;134,174;0,11
0.75;11;6K2anECyrckidwf5wxS78Q;0,0515;0,769;139845;0,807;0;0,111;-2,966;1;0,306;82,422;0,364
0.93;1;6M1qLtDxfOeBSbM5HnIo54;0,046;0,944;155131;0,425;0;0,11;-7,146;1;0,326;129,999;0,124
0.84;1;6asKJPlXOTx6BLyGnEAagB;0,143;0,857;160297;0,386;0;0,0909;-6,768;1;0,251;119,93;0,188
0.78;3;54OB85nuxYGfl7qRQXuz7c;0,118;0,804;254907;0,791;0,000162;0,0814;-3,438;0;0,0598;87,996;0,809
0.78;5;0QS5rZpm5zN9wV9lJgjyUE;0,176;0,794;219396;0,735;0;0,118;-3,412;0;0,0757;94,017;0,777
0.72;8;1UVuZnfWsGvS9TzZTVIkdv;0,112;0,751;198040;0,547;0;0,0282;-5,566;1;0,13;138,971;0,876
0.57;3;63SevszngYpZOwf63o61K4;0,156;0,592;156600;0,691;9,78e-06;0,418;-8,354;1;0,196;99,976;0,0796
0.84;8;00gpGR84M27moP7AFuqHIx;0,0426;0,857;91011;0,56;0;0,153;-8,278;1;0,173;94,949;0,482
0.57;4;0CZ8lquoTX2Dkg7Ak2inwA;0,648;0,6;225133;0,535;4,7e-06;0,162;-7,043;1;0,107;71,912;0,269
0.57;3;0OWZFobGSIW9GrSlQ9C5pc;0,113;0,588;205453;0,408;0;0,13;-8,662;1;0,0237;85,008;0,484
0.72;8;3ee8Jmje8o58CHK66QrVC2;0,258;0,74;166606;0,613;0,00372;0,123;-4,88;1;0,145;75,023;0,473
0.90;9;0JP9xo3adEtGSdUEISiszL;0,556;0,921;135090;0,537;0,00404;0,102;-5,723;0;0,0804;128,009;0,711
0.66;11;7AFASza1mXqntmGtbxXprO;0,883;0,669;121887;0,308;0;0,0984;-10,068;1;0,029;64,934;0,52
0.69;1;4UKCKdYiLN6IMA5ZESUTL7;0,779;0,699;160184;0,304;0,000993;0,137;-11,192;1;0,0993;119,705;0,271
0.39;11;01TnVDiet1DFTsyWKUKovl;0,1;0,414;186268;0,416;0,179;0,131;-8,024;0;0,0251;159,91;0,196
0.75;8;10Igtw8bSDyyFs7KIsKngZ;0,147;0,755;216632;0,599;0;0,109;-5,042;1;0,224;133,123;0,755
0.54;10;7J2gyNghNTzl4EsLhXp01Q;0,274;0,562;176591;0,579;0;0,102;-6,788;0;0,484;84,143;0,577
0.87;1;7CkbRn6S0itJqcqn88AtSV;0,0216;0,873;115194;0,663;0,000356;0,0867;-4,086;1;0,15;135,499;0,525
0.60;0;2oe6dDthgthqUkfL3czpEd;0,883;0,61;109986;0,258;0,0145;0,103;-12,758;1;0,0331;127,08;0,164
0.66;0;6xTU6B6nFwKKTSZ9ySXS80;0,158;0,689;217293;0,505;0;0,138;-6,389;1;0,0933;99,017;0,312
0.75;2;14boA065HMHWvqyPPEeN4y;0,118;0,767;192229;0,561;0;0,0737;-7,418;0;0,0509;90,021;0,542
0.45;11;3pIigjAWkzwAonXpJ1fmSF;0,00836;0,471;224027;0,755;0;0,368;-6,612;0;0,0455;154,801;0,512
0.69;9;6r7ULK6c5CLVvImjTIztl1;0,000424;0,695;93447;0,686;0,0023;0,365;-8,147;0;0,0478;105,219;0,354
0.75;1;65u1dHQyQyE4y4aN2eDmMF;0,0636;0,774;130403;0,507;0;0,138;-6,952;0;0,065;140,067;0,508
0.57;9;2ZRo7axmMPeSVUvDbGkJah;0,661;0,592;110886;0,457;0,000331;0,146;-6,081;0;0,0603;146,04;0,225
0.81;6;6rAGFgcGtlIdYxlhDizXNo;0,153;0,819;109556;0,513;0;0,138;-9,005;0;0,433;140,032;0,607
0.66;4;4zI04ezdmrN0lT2pHykYrd;0,536;0,671;101517;0,628;0,151;0,12;-5,117;1;0,0273;135,005;0,595
0.84;6;76S09sHj7GGMJAtOLjmVQ2;0,193;0,856;180493;0,632;0;0,0688;-3,692;0;0,074;112,009;0,697
0.33;9;16x9bQHw8TBNaGDyULvwad;0,976;0,356;99658;0,143;1,89e-05;0,111;-15,148;1;0,0388;75,522;0,334
0.72;11;1Znlc3UZAbSodFaMBjdpsX;0,674;0,746;48423;0,338;0,000375;0,529;-13,472;0;0,109;120,053;0,469
0.60;2;5b6zjsBrZCqe6RFycLz2tc;0,0762;0,606;80190;0,349;0,0711;0,1;-10,032;1;0,198;180,055;0,239
0.66;10;2aOPvzjpMwikBgngKcxsA9;0,868;0,678;117483;0,481;0;0,431;-20,18;0;0,92;88,828;0,0684
0.69;10;0RUTnY2B3s05fZuCHsNaUP;0,0588;0,72;174841;0,659;0;0,0662;-4,727;0;0,0403;105,955;0,567
0.75;2;0VKkyBKCXyR99navhVRqcP;0,16;0,769;249609;0,838;0;0,0935;-5,238;1;0,0633;93,996;0,602
0.63;8;4lUnFLtn8w3W76FiYDRzmO;0,0803;0,648;190643;0,603;0;0,112;-5,098;1;0,0507;126,116;0,488
0.78;8;2CRbiMK0W14l71SpDKqKZM;0,337;0,795;346460;0,751;0;0,0983;-3,661;1;0,0675;113,033;0,537
0.75;1;739vCwA3EpBSkk3uDsI2wB;0,000738;0,777;226107;0,657;3,34e-06;0,0932;-6,434;1;0,237;189,992;0,245
0.54;11;2JfXj2TERIkHwJpnG9f8uX;0,104;0,548;193893;0,58;0;0,127;-7,524;0;0,121;180,066;0,462
0.84;5;2RVrdr062uLFxXwIxwdXPH;0,0204;0,849;201122;0,724;5,98e-06;0,235;-4,139;1;0,0665;98,005;0,63
0.81;11;0LKErfBZ5FbBiLB4OcZRbL;0,0435;0,827;172749;0,78;0;0,133;-3,315;0;0,133;80,015;0,658
0.60;5;79jX8RM5CgPqDKdGEKNW9K;0,0524;0,628;211600;0,715;0;0,119;-7,097;1;0,0541;139,991;0,429
0.48;6;4qSsjDGXplb6422X2INvFW;0,167;0,491;189187;0,867;0;0,458;-2,313;0;0,103;167,965;0,602
0.57;1;7g58rb2dFDCvcmLBwpHR9F;0,0272;0,577;168613;0,939;0;0,24;-1,352;0;0,108;105,092;0,714
0.72;6;4lTiuD1DwBKo4L7wqMkD7C;0,121;0,733;144149;0,678;0;0,345;-7,771;1;0,439;175,984;0,841
0.72;7;7wvYmO5QscgIDDT0eNwbYX;0,303;0,726;200133;0,708;0;0,348;-6,908;0;0,356;105,084;0,417
0.60;5;33IOhptvC2Qoy2UhjiHXLV;0,0723;0,609;195000;0,726;8,45e-06;0,0895;-4,346;0;0,0414;93,958;0,362
0.45;5;7thTA3hqO2MgOlzo0rPInX;0,0126;0,469;177480;0,786;3,76e-05;0,503;-5,396;0;0,186;87,023;0,409
0.63;11;38zwkK6TtTjIW9tpYBfZ3D;0,209;0,642;222045;0,881;0;0,21;-3,537;1;0,0393;138,03;0,913
0.57;7;6GW4n7EdAV9w8YpAgtJnuc;0,0185;0,592;202563;0,731;0;0,726;-5,794;0;0,0404;166,028;0,392
0.87;7;5FOCkGt7bp22nBVfQ4WSIT;0,16;0,874;205188;0,602;0,000842;0,096;-5,118;1;0,127;127,997;0,587
0.30;10;2VgJDTfkuwlm7WIHnvtRCQ;0,913;0,329;204326;0,234;0;0,132;-7,725;1;0,0303;170,466;0,199
0.60;7;11GGSyTB8cS9TgONHBOhEX;0,067;0,631;190576;0,599;0;0,0952;-6,137;0;0,0878;170,122;0,727
0.45;11;7Il2yWQmsqKgSkLQvHTPUI;0,0292;0,474;195987;0,594;0;0,133;-5,756;1;0,0289;86,131;0,503
0.72;8;6yuArSnBrhykjkCxb8eXvl;0,0422;0,749;230760;0,872;0;0,241;-3,928;1;0,0534;93,976;0,811
0.48;1;1gm616Plq4ScqNi7TVkZ5N;0,218;0,489;228373;0,598;0;0,35;-4,929;1;0,036;134,045;0,172
0.48;8;2poOAWEj1CStqTVPgIHZ8s;0,629;0,508;221107;0,665;0,00124;0,142;-5,748;0;0,0694;91,997;0,124
0.54;10;72TyiiduRmczEbDIEtKQdR;0,622;0,562;220293;0,674;2,04e-05;0,111;-6,049;0;0,0851;122,699;0,293
0.30;10;56d6kYZhfhzpoC3s1dRU2V;0,133;0,32;241067;0,734;0,000109;0,165;-4,021;1;0,0331;113,34;0,185
0.48;5;13wNEvWmBsWaWVtiLPRIW5;0,3;0,484;230027;0,716;0,00214;0,112;-7,193;0;0,167;184,131;0,365
0.36;11;26Fqtv4Aa7kyd1WWGHai6A;0,913;0,391;170573;0,595;0,00557;0,145;-7,094;0;0,0411;93,78;0,379
0.87;11;6mAz8D1TmlTuef90dbNIiZ;0,202;0,876;175230;0,519;0;0,108;-6,531;1;0,143;94,981;0,158
0.87;0;0eHCArTPhwUxatY7cEXRiK;0,0405;0,884;191938;0,698;0;0,195;-9,101;1;0,364;140,068;0,575
0.87;8;3ZYwSDF9knZI0RVlKR4PHC;0,0679;0,901;183809;0,529;0;0,536;-7,94;1;0,413;144,941;0,343
0.81;2;6J3YPOejivwLSjM2dru5Ad;0,0253;0,818;210675;0,563;0;0,0909;-8,096;1;0,398;152,108;0,486
0.66;6;4j30n3zuJQJ5qGA6rSTaST;0,154;0,686;184905;0,694;0;0,193;-6,213;0;0,193;146,01;0,441
0.57;1;74ZovzRxHBvCq5yIwe8boh;0,0456;0,589;151027;0,57;1,51e-06;0,137;-9,54;1;0,361;136,203;0,441
0.78;0;0qFX9pVJQB4lBMxRoFXqGr;0,176;0,784;236944;0,58;0;0,0979;-6,656;1;0,167;76,484;0,338
0.63;4;3n3b5WNEohHP7Ou4ndBo6b;0,224;0,637;221760;0,448;0;0,0887;-7,968;0;0,0617;87,919;0,224
0.69;5;1xy4apMFecGGkgBeaHFZ2M;0,0449;0,709;205267;0,562;0;0,217;-4,864;1;0,0724;125,965;0,386
